S,K,ST,KA,KASJS
28.85,53.88,16,37,38.5
32.89,47.38,19.5,38.5,40
36.93,40.87,23,40,39
33.26,46.56,24,39,40
35.21,44.7,24,40,39.5
33.92,44.94,24.5,39.5,39
32.62,45.17,25,39,39
30.32,49.28,25,39,39
30.15,49.39,25,39,36
26.95,56.05,23,36,39
27.59,55.48,23,39,36
26.35,56.92,22,36,37
25.54,57.87,21,37,36
25.78,57.28,21,36,36
24.41,58.23,20,36,36
23.04,59.18,19,36,36
22.76,57.52,19,36,36
22.21,57.42,18,36,36
21.66,57.32,17,36,36.33
21.38,57.4,16.33,36.33,36.66
21.1,57.48,15.66,36.66,37
20.82,57.56,15,37,38
25,55.74,15,38,37
29.24,50.69,16,37,39
30.39,49.16,16,39,39
30.39,49.16,16,39,39
34.88,40.47,21,39,38
31.15,55.32,22,38,39
36.31,51.03,23,39,39
34.62,49.34,23.5,39,39
32.92,47.64,24,39,39
32.92,47.64,24,39,39
27.8,51.74,23,39,39
26.41,53.92,22,39,40
25.78,55.19,22,40,39
24.8,56.02,21,39,38
24.3,56.2,20,38,37
23.79,56.38,19,37,38.5
24.23,56.68,18.5,38.5,40
24.67,56.99,18,40,38
24.76,57.35,18,38,39
24.53,57.48,18,39,39
23.69,57.57,17,39,36
22.89,57.46,17,36,39
22.41,57.69,17,39,37
22.14,57.28,16,37,37
26.05,55.19,16,37,37
28.89,53.14,17,37,37
28.89,53.14,17,37,40
37.26,40.05,23,40,41
33.9,43.9,24,41,40
35.77,43.68,24,40,39
35.72,43.44,25,39,39
32.49,47.58,25,39,40
31.73,49.4,25,40,39
29.03,53.4,24,39,37
28.66,53.51,24,37,37
28.66,53.51,24,37,37
27.59,54.96,23,37,37
26.52,56.4,22,37,37
25.44,57.84,21,37,37
24.37,59.29,20,37,37.5
24.78,58.5,19.5,37.5,38
25.19,57.72,19,38,37
24.89,57.77,19,37,36
24.77,57.12,18,36,36
23.3,57.62,18,36,37
21.92,57.27,17,37,37
20.68,57.08,17,37,37
20.25,57,16,37,37
24,54.61,16,37,39
28.73,48.54,16,39,37
31.9,43.72,18,37,40
32.24,43.13,18,40,40
32.24,43.13,18,40,40
33.89,39.64,22,40,38
34.66,38,23,38,36
32.92,38.05,23,36,37
31.13,40.22,24,37,38
30.12,41.66,23,38,36
25.56,49.33,22,36,37
24.59,51.38,21,37,36.67
