S,K,ST,KA,KASJS
29.67,53.42,20.1,40.05,40.12
29.78,53.44,20.25,40.12,40.2
29.9,53.45,20.4,40.2,40.28
30.01,53.46,20.55,40.28,40.35
30.13,53.48,20.7,40.35,40.43
30.24,53.5,20.85,40.43,40.5
30.36,53.51,21,40.5,40.58
30.48,53.52,21.15,40.58,40.65
30.59,53.54,21.3,40.65,40.72
30.7,53.56,21.45,40.72,40.8
30.82,53.57,21.6,40.8,40.88
30.94,53.58,21.75,40.88,40.95
31.05,53.6,21.9,40.95,41.03
31.16,53.62,22.05,41.03,41.1
31.28,53.63,22.2,41.1,41.18
31.4,53.64,22.35,41.18,41.25
31.51,53.66,22.5,41.25,41.32
31.62,53.68,22.65,41.32,41.4
31.74,53.69,22.8,41.4,41.48
31.85,53.7,22.95,41.48,41.55
31.97,53.72,23.1,41.55,41.62
32.08,53.74,23.25,41.62,41.7
32.2,53.75,23.4,41.7,41.78
32.32,53.76,23.55,41.78,41.85
32.43,53.78,23.7,41.85,41.92
32.54,53.8,23.85,41.92,42
32.66,53.81,24,42,41
27.98,56.58,24,41,40
26.22,57.02,23,40,41
26.17,56.24,22,41,40.88
25.99,56.52,21.5,40.88,40.75
25.81,56.8,21,40.75,40.62
25.62,57.08,20.5,40.62,40.5
25.44,57.36,20,40.5,40.38
25.26,57.64,19.5,40.38,40.25
25.07,57.93,19,40.25,40.12
24.88,58.22,18.5,40.12,40
24.7,58.5,18,40,37
24.96,57.99,18,37,39
24.45,57.88,18,39,39
23.53,58.15,18,39,39
23.53,58.15,18,39,42
26.19,56.81,17,42,42
26.19,56.81,17,42,42
37.25,42.68,21,42,40
37.19,40.86,23,40,41
36.83,40.62,25,41,40
32.91,56.5,25,40,41
32.72,55.99,26,41,40
32.22,56.65,25,40,39.9
32.14,56.9,24.85,39.9,39.8
32.06,57.15,24.7,39.8,39.7
31.98,57.4,24.55,39.7,39.6
31.9,57.65,24.4,39.6,39.5
31.82,57.9,24.25,39.5,39.4
31.74,58.15,24.1,39.4,39.3
31.66,58.4,23.95,39.3,39.2
31.58,58.65,23.8,39.2,39.1
31.5,58.9,23.65,39.1,39
31.42,59.16,23.5,39,38.9
31.34,59.42,23.35,38.9,38.8
31.26,59.67,23.2,38.8,38.7
31.18,59.92,23.05,38.7,38.6
31.09,60.18,22.9,38.6,38.5
31,60.44,22.75,38.5,38.4
30.92,60.69,22.6,38.4,38.3
30.84,60.94,22.45,38.3,38.2
30.75,61.2,22.3,38.2,38.1
30.66,61.46,22.15,38.1,38
30.58,61.71,22,38,39
30.62,65.03,23,39,40
33.57,64.44,24,40,39
35.05,58.28,25,39,40
33.25,59.84,25,40,39
31.56,56.4,25,39,39.5
29.83,56.03,24.5,39.5,40
28.1,55.66,24,40,39.89
27.72,55.92,23.33,39.89,39.78
27.34,56.18,22.66,39.78,39.67
26.96,56.44,21.99,39.67,39.56
26.58,56.7,21.32,39.56,39.45
26.2,56.96,20.66,39.45,39.34
25.82,57.22,20,39.34,39.23
25.43,57.47,19.33,39.23,39.11
25.04,57.72,18.66,39.11,39
24.66,57.98,18,39,40
22.85,59.44,18,40,39
23.02,57.41,17,39,37
21.69,57.24,17,37,39
22.09,57.25,16,39,39.33
26.62,51.95,17,39.33,39.66
31.15,46.65,18,39.66,40
35.67,41.35,19,40,49
31.56,52.06,22,49,47
29.63,61.67,22,47,47
29.63,61.67,22,47,41
33.57,61.43,23,41,40
31.74,61.35,24,40,40
32.08,61.66,24,40,40
30.43,62.55,24,40,41
29.44,61.94,24,41,41
26.26,63.98,22,41,40.89
25.97,63.56,21.56,40.89,40.78
25.68,63.14,21.12,40.78,40.67
25.39,62.72,20.67,40.67,40.56
25.1,62.3,20.23,40.56,40.45
24.81,61.88,19.78,40.45,40.34
24.52,61.46,19.34,40.34,40.23
24.22,61.04,18.89,40.23,40.11
23.92,60.61,18.44,40.11,40
23.63,60.19,18,40,40
23.59,59.9,17,40,39
23.97,59.58,17,39,37
24.05,59.61,17,37,37
24.05,59.61,17,37,37
24.05,59.61,17,37,37
24.05,59.61,17,37,40
32.51,49.96,21,40,39
35.12,45.43,23,39,39
35.44,45.36,24,39,41
36.02,43.72,25,41,40
32.1,46.08,25,40,39
29.77,48.99,25,39,39.5
28.04,51,24,39.5,40
26.32,53.02,23,40,41
25.3,53.99,22,41,40.67
24.49,54.14,21.11,40.67,40.34
23.68,54.29,20.22,40.34,40.01
22.87,54.44,19.33,40.01,39.67
22.06,54.59,18.44,39.67,39.34
21.25,54.74,17.55,39.34,39.01
20.43,54.9,16.66,39.01,38.67
19.62,55.05,15.77,38.67,38.34
18.8,55.2,14.88,38.34,38
17.99,55.36,14,38,38
17.23,56.13,13,38,37
18.03,56.19,12,37,37
20.18,55.79,12,37,37
20.18,55.79,12,37,38
32.82,44.53,15,38,39
36.55,39.96,17,39,40
35.23,38.96,21,40,39
37.45,36.28,23,39,41
38.13,35.68,24,41,40
38.09,35.12,25,40,39
35.68,38.5,26,39,40
31.84,45.28,26,40,42
30.09,48.35,25,42,39
28.07,51.56,24,39,40
26.87,54.27,23,40,39.62
26.54,54.7,22.5,39.62,39.25
26.21,55.13,22,39.25,38.88
25.88,55.57,21.5,38.88,38.5
25.56,56,21,38.5,38.12
25.24,56.44,20.5,38.12,37.75
24.91,56.87,20,37.75,37.38
24.58,57.3,19.5,37.38,37
24.26,57.74,19,37,37
23.7,57.62,18,37,40
23.24,57.6,18,40,37
22.79,57.81,17,37,39
24.54,57.16,17,39,39
28.36,53.17,17.5,39,39
32.18,49.18,18,39,39
32.18,49.18,18,39,41
38.08,37.55,23,41,66
36.68,37.59,25,66,64
31.5,55.73,25,64,64
33.27,54.6,25.5,64,64
35.04,53.46,26,64,61
29.36,57.43,26,61,64
29.88,55.23,25,64,61
27.29,55.32,24,61,59
26.07,56.88,23,59,58
25.48,56.96,22.25,58,57
24.89,57.04,21.5,57,56
24.3,57.12,20.75,56,55
23.7,57.2,20,55,54
23.1,57.28,19.25,54,53
22.51,57.35,18.5,53,52
21.92,57.42,17.75,52,51
21.32,57.5,17,51,52
20.69,57.27,16,52,50
20.25,57.22,15,50,50
20.19,57.22,15,50,50
20.19,57.22,15,50,50
20.19,57.22,15,50,51
31.57,48.29,16,51,52
33.8,42.64,18,52,54
34.2,39.42,21,54,54
34.63,37.72,22,54,51
31,44.13,23,51,51
31,44.13,23,51,50
32.13,52.11,24,50,50
31.96,52.04,24,50,50
31.96,52.04,24,50,49
24.7,54.69,22,49,49
24.7,54.69,22,49,48.38
24.46,55.02,21.25,48.38,47.75
24.22,55.35,20.5,47.75,47.12
23.98,55.68,19.75,47.12,46.5
23.74,56.01,19,46.5,45.88
23.5,56.34,18.25,45.88,45.25
23.27,56.66,17.5,45.25,44.62
23.04,56.98,16.75,44.62,44
22.8,57.31,16,44,43
22.91,57.58,16,43,43.67
23,57.6,15.67,43.67,44.34
23.1,57.62,15.34,44.34,45
23.19,57.64,15,45,44
24.41,57.07,15,44,44
26.95,55.23,16,44,47
27.37,53.87,17,47,47
27.72,53.85,17,47,45
27.56,53.68,19,45,45
27.28,55.82,19,45,45.5
26.97,56.47,19,45.5,46
26.66,57.12,19,46,46
28.81,52.67,19,46,46
27.57,53.25,19,46,46
25.81,54.49,19,46,45
24.61,55.68,19,45,44.75
24.18,56.18,18.62,44.75,44.5
23.76,56.68,18.25,44.5,44.25
23.34,57.18,17.88,44.25,44
22.91,57.68,17.5,44,43.75
22.48,58.18,17.12,43.75,43.5
22.06,58.68,16.75,43.5,43.25
21.64,59.18,16.38,43.25,43
21.21,59.69,16,43,42
20.28,59.86,15,42,42
20.42,58.54,15,42,42
20.4,58.53,15,42,42
22.01,59.5,14,42,42
24.91,56.93,15,42,44
29.84,51.45,16,44,44
30.22,49.14,17,44,45
32.83,45.21,19,45,44
33.09,44.67,20,44,46
32.34,52.32,21,46,46
32.33,54,21,46,46
31.06,56.89,22,46,44
29.66,55.54,22,44,44
29.15,52.15,22,44,43
28.06,52.82,21,43,43
28.06,52.82,21,43,43
27.71,53.34,20.62,43,43
27.36,53.86,20.25,43,43
27.01,54.38,19.88,43,43
26.66,54.89,19.5,43,43
26.32,55.4,19.12,43,43
25.97,55.92,18.75,43,43
25.62,56.44,18.38,43,43
25.28,56.95,18,43,41
23.83,58.28,18,41,41
23.29,57.61,17,41,42
22.55,57.74,17,42,42
22.76,57.92,17,42,42
22.76,57.92,17,42,43
35.17,46.57,18,43,42
36.22,45.35,19,42,45
35.43,43.63,23,45,44
33.24,48.74,24,44,46
32.88,57.38,25,46,45
31.83,58.34,25,45,46
32.87,56.52,25,46,45
33.86,53.25,24,45,43
30.29,57.75,24,43,44
29.42,58.99,23,44,44
29.42,58.99,23,44,43.62
28.99,59.13,22.5,43.62,43.25
28.55,59.27,22,43.25,42.88
28.12,59.41,21.5,42.88,42.5
27.68,59.55,21,42.5,42.12
27.24,59.68,20.5,42.12,41.75
26.81,59.82,20,41.75,41.38
26.38,59.96,19.5,41.38,41
25.94,60.09,19,41,43
25.98,59.93,19,43,41
25.7,59.9,19,41,42
25.77,59.76,19,42,43
25.94,59.74,19,43,42
27.66,57.93,19,42,42
29.99,54.51,19,42,42
29.67,53.92,19,42,42
29.67,53.92,19,42,44
30.94,51.05,21,44,42
30.64,52.41,22,42,43
30.67,52.23,22,43,44
30.18,51.19,23,44,42
29.08,52.53,22,42,42
28.58,53.32,22,42,42
28.08,54.12,22,42,43
26.51,57.23,21,43,42.88
26.14,57.4,20.62,42.88,42.75
25.77,57.57,20.25,42.75,42.62
25.4,57.74,19.88,42.62,42.5
25.03,57.91,19.5,42.5,42.38
24.66,58.08,19.12,42.38,42.25
24.29,58.26,18.75,42.25,42.12
23.92,58.44,18.38,42.12,42
23.54,58.61,18,42,40
24.5,58.74,18,40,40
24.79,58.76,17,40,41
25.07,58.07,17,41,42
25.43,58.53,17,42,42
25.43,58.53,17,42,43
27.72,56.91,18,43,43
27.72,56.91,18,43,45
33.82,44.17,23,45,42
34.9,42.68,24,42,44
34.52,44.22,24,44,44
35.13,42.18,25,44,43
30.44,46.97,25,43,43
29.99,48.51,24,43,43
29.86,48.81,24,43,43
29.86,48.81,24,43,43
29.86,48.81,24,43,42.75
29,49.87,23.12,42.75,42.5
28.14,50.93,22.25,42.5,42.25
27.28,51.99,21.38,42.25,42
26.42,53.05,20.5,42,41.75
25.56,54.11,19.62,41.75,41.5
24.7,55.17,18.75,41.5,41.25
23.84,56.23,17.88,41.25,41
22.99,57.29,17,41,41
21.96,57.5,16,41,40
21.02,57.46,16,40,41
20.47,57.37,15,41,40
22.56,56.84,15,40,41
27.46,52.2,15.5,41,42
32.35,47.56,16,42,42
35.38,43.89,18,42,43
33.87,43.96,21,43,42
33.06,44.03,23,42,41
30.69,48.22,23,41,41
30.69,48.22,23,41,46
30.78,50.17,23,46,42
28.75,51.48,22,42,41
27.05,53.91,22,41,44
26.57,54.58,21,44,43
25.84,56.4,21,43,43
25.68,56.59,20.62,43,43
25.52,56.78,20.25,43,43
25.36,56.97,19.88,43,43
25.2,57.16,19.5,43,43
25.04,57.34,19.12,43,43
24.87,57.53,18.75,43,43
24.7,57.72,18.38,43,43
24.54,57.9,18,43,42
23.33,57.85,18,42,42.33
23.58,57.87,17.33,42.33,42.66
23.83,57.9,16.66,42.66,43
24.08,57.92,16,43,41
27.74,54.97,17,41,43
30.71,51.21,17,43,43
30.71,51.21,17,43,46
36.23,41.94,23,46,45
34.2,52.19,24,45,44
30.77,54.84,24,44,47
33.25,54.45,24,47,47
33.25,54.45,24,47,44
29.92,55.77,24,44,44
29.92,55.77,24,44,44
29.92,55.77,24,44,44
29.92,55.77,24,44,43.5
29.05,55.91,23.25,43.5,43
28.18,56.05,22.5,43,42.5
27.31,56.19,21.75,42.5,42
26.44,56.33,21,42,41.5
25.58,56.47,20.25,41.5,41
24.71,56.62,19.5,41,40.5
23.84,56.76,18.75,40.5,40
22.98,56.91,18,40,42
22.39,56.8,17,42,43
23,56.34,17,43,41
22.4,56.98,16,41,41
22.84,56.9,16,41,42
26.68,57.07,16,42,42
32.97,46.81,18,42,44
34.45,45.16,20,44,46
34.75,43.27,22,46,44
34.11,44.88,23,44,45
32.31,48.58,24,45,42
31.71,49.14,24,42,42
33.13,46.58,24,42,44
33.13,45.3,24,44,44
29.33,49.83,24,44,43
28.4,50.87,23,43,44
26.72,53.32,22,44,43.73
26.34,53.55,21.45,43.73,43.46
25.96,53.78,20.9,43.46,43.19
25.58,54.01,20.36,43.19,42.92
25.2,54.24,19.81,42.92,42.65
24.83,54.46,19.27,42.65,42.38
24.46,54.68,18.73,42.38,42.1
24.08,54.91,18.18,42.1,41.82
23.7,55.14,17.63,41.82,41.55
23.33,55.36,17.09,41.55,41.28
22.96,55.58,16.55,41.28,41
22.58,55.81,16,41,41.25
25.48,52.29,17,41.25,41.5
28.39,48.77,18,41.5,41.75
31.3,45.26,19,41.75,42
34.2,41.74,20,42,42
32.6,43.58,20.67,42,42
31,45.42,21.34,42,42
29.4,47.26,22,42,42.75
28.84,48.03,22,42.75,43.5
28.27,48.8,22,43.5,44.25
27.7,49.57,22,44.25,45
27.14,50.34,22,45,44.75
27.47,50.25,21.5,44.75,44.5
27.8,50.16,21,44.5,44.25
28.13,50.07,20.5,44.25,44
28.46,49.98,20,44,43.75
28.79,49.89,19.5,43.75,43.5
29.12,49.8,19,43.5,43.25
29.45,49.71,18.5,43.25,43
29.78,49.62,18,43,42.75
30.11,49.53,17.5,42.75,42.5
30.44,49.44,17,42.5,42.25
30.77,49.35,16.5,42.25,42
31.1,49.26,16,42,41.75
31.42,49.17,15.5,41.75,41.5
31.75,49.08,15,41.5,41.25
32.08,48.99,14.5,41.25,41
32.4,48.9,14,41,42
34.87,43.29,17,42,42
31.38,43.95,20,42,41.5
29.94,51.82,20.5,41.5,41
28.51,59.68,21,41,42
32.13,56.1,21,42,41.5
30.14,55.52,21.5,41.5,41
28.15,54.94,22,41,40.91
27.58,55.36,21.45,40.91,40.82
27,55.78,20.9,40.82,40.73
26.43,56.2,20.36,40.73,40.64
25.86,56.62,19.81,40.64,40.55
25.28,57.04,19.27,40.55,40.46
24.7,57.46,18.73,40.46,40.37
24.13,57.88,18.18,40.37,40.28
23.56,58.3,17.63,40.28,40.19
22.98,58.73,17.09,40.19,40.1
22.4,59.16,16.55,40.1,40
21.83,59.58,16,40,40
21.3,57.79,16,40,39
20.75,57.49,15,39,40
20.15,57.52,15,40,40
20.26,57.48,15,40,40
25.23,56.63,15,40,41
33.96,47.08,16,41,45
36.6,41.73,18,45,45
36.6,41.73,18,45,42
38.33,35.56,23,42,42
39.9,32.44,25,42,42
38.5,33.96,25.5,42,42
37.11,35.47,26,42,41
32.53,42.28,26,41,40
30.4,47.09,25,40,42
27.89,50.57,24,42,42
27.36,52.69,23,42,41.62
26.85,53.16,22.38,41.62,41.25
26.34,53.63,21.75,41.25,40.88
25.83,54.1,21.12,40.88,40.5
25.32,54.57,20.5,40.5,40.12
24.81,55.04,19.88,40.12,39.75
24.3,55.51,19.25,39.75,39.38
23.78,55.97,18.62,39.38,39
23.27,56.44,18,39,41
22.5,56.47,18,41,39.67
22.95,56.83,17.33,39.67,38.34
23.4,57.19,16.66,38.34,37
23.86,57.55,16,37,38.5
26.24,55.73,16.5,38.5,40
28.63,53.91,17,40,40
28.63,53.91,17,40,40
28.63,53.91,17,40,40
33.88,44.57,22,40,39
33.51,45.33,23,39,42
33.48,44.43,23,42,41.75
31.96,47.53,23,41.75,41.5
30.44,50.63,23,41.5,41.25
28.92,53.74,23,41.25,41
27.41,56.84,23,41,40
26.8,56.54,22,40,40.02
26.82,56.37,22,40.02,40.04
26.84,56.2,22,40.04,40.06
26.86,56.03,22,40.06,40.08
26.88,55.86,22,40.08,40.1
26.9,55.69,22,40.1,40.12
26.92,55.52,22,40.12,40.14
26.94,55.35,22,40.14,40.16
26.96,55.18,22,40.16,40.18
26.98,55.01,22,40.18,40.2
27,54.84,22,40.2,40.22
27.02,54.67,22,40.22,40.24
27.04,54.5,22,40.24,40.26
27.06,54.33,22,40.26,40.28
27.08,54.16,22,40.28,40.3
27.1,53.99,22,40.3,40.32
27.12,53.82,22,40.32,40.34
27.14,53.65,22,40.34,40.36
27.16,53.48,22,40.36,40.38
27.18,53.31,22,40.38,40.4
27.2,53.14,22,40.4,40.42
27.22,52.97,22,40.42,40.44
27.24,52.8,22,40.44,40.46
27.26,52.63,22,40.46,40.48
27.28,52.46,22,40.48,40.5
27.3,52.29,22,40.5,40.52
27.32,52.12,22,40.52,40.54
27.34,51.95,22,40.54,40.56
27.36,51.78,22,40.56,40.58
27.38,51.61,22,40.58,40.6
27.4,51.44,22,40.6,40.62
27.42,51.27,22,40.62,40.64
27.44,51.1,22,40.64,40.66
27.46,50.93,22,40.66,40.68
27.49,50.76,22,40.68,40.7
27.51,50.59,22,40.7,40.72
27.54,50.42,22,40.72,40.74
27.56,50.24,22,40.74,40.76
27.59,50.07,22,40.76,40.78
27.62,49.9,22,40.78,40.8
27.64,49.72,22,40.8,40.82
27.66,49.54,22,40.82,40.85
27.69,49.37,22,40.85,40.88
27.72,49.2,22,40.88,40.9
27.74,49.02,22,40.9,40.92
27.76,48.84,22,40.92,40.95
27.79,48.67,22,40.95,40.98
27.82,48.5,22,40.98,41
27.84,48.32,22,41,40.88
27.04,49.11,21.25,40.88,40.75
26.24,49.9,20.5,40.75,40.62
25.44,50.69,19.75,40.62,40.5
24.64,51.48,19,40.5,40.38
23.84,52.26,18.25,40.38,40.25
23.04,53.05,17.5,40.25,40.12
22.24,53.83,16.75,40.12,40
21.44,54.62,16,40,40
21.44,54.62,16,40,40
21.43,59.71,15,40,39
22.26,56.88,15,39,39
23.34,58.93,15,39,39
25.07,56.36,15,39,41
33.34,46.07,17,41,41
36.58,38.74,19,41,42
34.22,38.3,21,42,41
35.25,37.05,22,41,42
35.71,37.82,23,42,42
36.91,36.03,24,42,40
36.32,36.1,25,40,40
32.67,41.41,25,40,39.5
30.34,45.8,24.5,39.5,39
28.02,50.2,24,39,41
27.43,52.89,23,41,40.75
26.91,53.35,22.38,40.75,40.5
26.39,53.81,21.75,40.5,40.25
25.86,54.27,21.12,40.25,40
25.34,54.73,20.5,40,39.75
24.82,55.19,19.88,39.75,39.5
24.29,55.65,19.25,39.5,39.25
23.76,56.11,18.62,39.25,39
23.24,56.57,18,39,41
22.53,56.42,18,41,39
21.87,56.17,17,39,39
21.64,56.47,16,39,39
21.76,56.47,16,39,40
27.6,53.72,16,40,40
32.37,43.96,18,40,41
32.81,43.27,18,41,42
34.41,38.91,21,42,39
36.97,35.95,23,39,41
34.49,45.67,24,41,42
33.69,45.76,24,42,40
30.74,49.05,24,40,42
30.01,50.05,24,42,42
30.01,50.05,24,42,42
27.8,53.32,22,42,41
26.53,54.27,22,41,40.88
25.74,54.5,21.25,40.88,40.75
24.96,54.72,20.5,40.75,40.62
24.18,54.94,19.75,40.62,40.5
23.39,55.17,19,40.5,40.38
22.6,55.4,18.25,40.38,40.25
21.82,55.62,17.5,40.25,40.12
21.04,55.84,16.75,40.12,40
20.25,56.07,16,40,38
19.7,55.87,15,38,37
19.04,56,14,37,38
18.74,55.94,14,38,39
21.42,55.73,13,39,39
21.42,55.73,13,39,40
30.85,48.03,15,40,40
31.87,46.75,16,40,41
34.82,39.84,19,41,40
35.15,34.75,21,40,39
32.59,38.2,22,39,39
32.59,38.2,22,39,40
33.41,35.95,23,40,41
31.48,37.03,23,41,41
29.45,42.64,23,41,41
26.42,45.52,22,41,42
24.59,46.88,21,42,41.75
23.83,47.66,20.12,41.75,41.5
23.07,48.44,19.25,41.5,41.25
22.31,49.22,18.38,41.25,41
21.55,50,17.5,41,40.75
20.78,50.78,16.62,40.75,40.5
20.02,51.55,15.75,40.5,40.25
19.26,52.32,14.88,40.25,40
18.49,53.1,14,40,39
18.18,53.4,13,39,38
18.07,53.64,13,38,37
17.94,53.69,12,37,37
20.39,54.04,12,37,37
20.39,54.04,12,37,38
28.37,48.34,13,38,38
28.37,48.34,13,38,38
28.37,48.34,13,38,44
34.68,38.01,21,44,43
32.87,41.65,21,43,43.5
32.12,40.89,22,43.5,44
31.38,40.14,23,44,42
30.62,40.88,23,42,42
30.62,40.88,23,42,43
26.39,43.92,22,43,43
26.39,43.92,22,43,42.75
25.72,45.18,21,42.75,42.5
25.05,46.44,20,42.5,42.25
24.38,47.7,19,42.25,42
23.71,48.96,18,42,41.75
23.04,50.22,17,41.75,41.5
22.37,51.48,16,41.5,41.25
21.7,52.74,15,41.25,41
21.02,54.01,14,41,39
21.06,54.29,14,39,40
20.11,53.53,14,40,39
18.9,55.67,13,39,40
22.11,55.12,13,40,42
26.6,51.28,14,42,42
32.2,44.77,15,42,42
32.58,43.24,17,42,44
32.42,40.93,19,44,42
33.29,40.31,21,42,42
32.63,41.98,22,42,42
29.95,43.93,22,42,40
28.57,45.59,22,40,41
28.31,47.32,22,41,40.5
27.44,49.09,21.5,40.5,40
26.57,50.86,21,40,40
26.57,50.86,21,40,40.22
25.95,51.45,20.44,40.22,40.44
25.33,52.04,19.89,40.44,40.66
24.71,52.62,19.33,40.66,40.88
24.09,53.2,18.77,40.88,41.1
23.47,53.79,18.22,41.1,41.32
22.85,54.38,17.66,41.32,41.55
22.23,54.96,17.11,41.55,41.78
21.61,55.54,16.56,41.78,42
20.99,56.13,16,42,40
20.82,56.05,15,40,39
20.53,56.16,15,39,40
21.52,55.99,14,40,40
21.52,55.99,14,40,42
30.81,49.32,16,42,42
33.87,44.38,18,42,42
33.87,44.38,18,42,42
33.87,44.38,18,42,42
33.87,44.38,18,42,41.95
33.67,44.7,18.05,41.95,41.9
33.47,45.02,18.1,41.9,41.85
33.27,45.34,18.15,41.85,41.8
33.07,45.66,18.2,41.8,41.75
32.87,45.98,18.25,41.75,41.7
32.67,46.3,18.3,41.7,41.65
32.47,46.62,18.35,41.65,41.6
32.27,46.94,18.4,41.6,41.55
32.07,47.26,18.45,41.55,41.5
31.87,47.58,18.5,41.5,41.45
31.68,47.9,18.55,41.45,41.4
31.48,48.21,18.6,41.4,41.35
31.28,48.52,18.65,41.35,41.3
31.09,48.84,18.7,41.3,41.25
30.9,49.16,18.75,41.25,41.2
30.7,49.47,18.8,41.2,41.15
30.5,49.78,18.85,41.15,41.1
30.31,50.1,18.9,41.1,41.04
30.12,50.42,18.95,41.04,40.99
29.92,50.73,19.01,40.99,40.94
29.72,51.04,19.07,40.94,40.88
29.53,51.36,19.12,40.88,40.83
29.34,51.68,19.18,40.83,40.77
29.14,51.99,19.23,40.77,40.72
28.94,52.3,19.28,40.72,40.66
28.75,52.62,19.34,40.66,40.6
28.56,52.93,19.4,40.6,40.55
28.36,53.25,19.45,40.55,40.49
28.16,53.56,19.5,40.49,40.44
27.97,53.88,19.56,40.44,40.38
27.78,54.2,19.61,40.38,40.33
27.58,54.51,19.67,40.33,40.28
27.38,54.82,19.73,40.28,40.22
27.19,55.14,19.78,40.22,40.16
27,55.46,19.84,40.16,40.11
26.8,55.77,19.89,40.11,40.06
26.6,56.08,19.94,40.06,40
26.41,56.4,20,40,40
25.79,56.93,19,40,42
25.77,56.65,19,42,41
25.35,57,19,41,40
26.55,56.8,18,40,41
29.16,54.94,19,41,40
34.35,47.87,20,40,40
36.79,42.55,21,40,42
36.06,40.83,23,42,42
37.36,38.25,24,42,43
34.77,49.58,25,43,42.6
34.73,48.67,24.6,42.6,42.2
34.69,47.76,24.2,42.2,41.8
34.65,46.84,23.8,41.8,41.4
34.61,45.92,23.4,41.4,41
34.57,45.01,23,41,44
33.13,45.75,23,44,43.38
31.91,47.03,22.38,43.38,42.75
30.69,48.31,21.75,42.75,42.12
29.47,49.59,21.12,42.12,41.5
28.25,50.87,20.5,41.5,40.88
27.02,52.15,19.88,40.88,40.25
25.8,53.43,19.25,40.25,39.62
24.58,54.7,18.62,39.62,39
23.35,55.98,18,39,40
22.48,56.8,17,40,39
23.37,55.57,17,39,41
24.43,57.09,17,41,40
26.3,56.31,17,40,40.5
30.7,49.72,17,40.5,41
35.09,43.13,17,41,41
36.2,41.78,20,41,44
38.25,39.16,21,44,48
32.63,54.39,23,48,44
36.06,52.86,23,44,43
35.54,53.47,24,43,42
35.02,54.08,25,42,41
33.44,52.14,25,41,42
31.49,50.51,25,42,40
30.37,49.53,24,40,42
27.89,53.75,23,42,41.75
27.4,54.05,22.25,41.75,41.5
26.91,54.35,21.5,41.5,41.25
26.42,54.65,20.75,41.25,41
25.93,54.95,20,41,40.75
25.44,55.25,19.25,40.75,40.5
24.95,55.55,18.5,40.5,40.25
24.46,55.86,17.75,40.25,40
23.97,56.16,17,40,40
23.81,56.51,17,40,39
23.41,56.34,17,39,40
22.91,56.94,17,40,41
24.21,56.88,16,41,39
27.92,55.81,17,39,42
33.96,48.54,18,42,40
39.3,39.6,19,40,39.5
38.86,38.6,20.5,39.5,39
38.42,37.59,22,39,39
39.01,36.67,24,39,40
38.07,36.69,24,40,37
36.34,39.58,25,37,65
33.73,44.66,25,65,64
31.46,48.87,25,64,59
28.87,51.36,24,59,60
27.85,53.02,23,60,59.33
27.54,53.52,22.56,59.33,58.66
27.23,54.02,22.12,58.66,57.99
26.92,54.52,21.67,57.99,57.32
26.61,55.02,21.22,57.32,56.66
26.3,55.52,20.78,56.66,56
26,56.02,20.34,56,55.33
25.69,56.51,19.89,55.33,54.66
25.38,57,19.44,54.66,54
25.08,57.5,19,54,55
24.94,57.56,19,55,55
24.94,57.56,19,55,55
24.94,57.56,19,55,55
24.94,57.56,19,55,57
32.62,51.33,19,57,59
35.72,45.95,21,59,58
35.8,44.66,22.5,58,57
35.89,43.37,24,57,59
33.93,50.02,24,59,59
36.41,44.33,25,59,57
34.55,43.95,25,57,55
32.64,45.95,25,55,57
30.28,48.98,25,57,56
29.44,52.34,24,56,54
29.08,54.34,23,54,53.62
28.73,54.75,22.62,53.62,53.25
28.38,55.16,22.25,53.25,52.88
28.02,55.57,21.88,52.88,52.5
27.67,55.98,21.5,52.5,52.12
27.32,56.39,21.12,52.12,51.75
26.96,56.8,20.75,51.75,51.38
26.6,57.2,20.38,51.38,51
26.25,57.61,20,51,52
26.14,57.52,19,52,50
24.92,57.95,19,50,53
24.36,57.97,19,53,50
26.11,57.46,18,50,50
28.81,55.16,19,50,52
32.5,49.08,20,52,54
36.19,42.99,21,54,56
36.84,39.46,23,56,54
29.72,58.56,24,54,46
35.54,53.27,24,46,45
38.32,49.48,25,45,42
36.48,51.95,26,42,42
33.65,51.79,26,42,44
30.43,52.12,26,44,42
28.6,52.08,25,42,43
27.55,53.34,23,43,42.88
27.12,53.79,22.38,42.88,42.75
26.69,54.24,21.75,42.75,42.62
26.26,54.68,21.12,42.62,42.5
25.83,55.13,20.5,42.5,42.38
25.4,55.58,19.88,42.38,42.25
24.97,56.02,19.25,42.25,42.12
24.54,56.46,18.62,42.12,42
24.12,56.91,18,42,40
23.57,57.54,18,40,40
23.34,57.62,17,40,40
23.34,57.62,17,40,40
23.34,57.62,17,40,41
28.92,52.57,18,41,42
34.49,47.52,19,42,42
36.03,44.04,21,42,49
31.82,48.91,22,49,48
32.14,49.92,23,48,44
30.81,53.16,23,44,47
36.44,39.67,23,47,44
36.72,39.47,23,44,46
33.27,47.01,23,46,46
34.42,42.83,23,46,45.5
34.3,42.5,22.5,45.5,45
34.19,42.16,22,45,45
34.17,42.28,22.01,45,45
34.15,42.4,22.02,45,45
34.13,42.52,22.03,45,45
34.11,42.64,22.04,45,45
34.09,42.76,22.05,45,45
34.07,42.88,22.06,45,45
34.05,43,22.07,45,45
34.03,43.12,22.08,45,45
34.01,43.25,22.09,45,45
33.99,43.38,22.1,45,45
33.97,43.5,22.11,45,45
